tweet_type,time_posted,content,associated_tweet_id,comments,retweets,likes,views,extraction_date,tweet_id,content_cleaned,content_removed_gare,content_removed_sw,content_cleand_str,word_counts,bigram_counts,trigram_counts,is_problem,date,engagement,label
Normal,2024-08-03 18:47:13," Le trafic est perturbé de Poissy vers Nanterre - Préfecture , en raison d'un incident d'exploitation à Poissy #RERA",,3,4,7,9272,2024-08-04 11:30:25.868093,e392794b-bde4-47b6-8c06-b4a44fcecbbe, le trafic est perturbe de poissy vers nanterre prefecture en raison d un incident d exploitation a poissy rera, le trafic est perturbe de  vers  en raison d un incident d exploitation a  rera,"['trafic', 'perturbe', 'raison', 'incident', 'exploitation']",trafic perturbe raison incident exploitation,"Counter({'trafic': 1, 'perturbe': 1, 'raison': 1, 'incident': 1, 'exploitation': 1})","Counter({('trafic', 'perturbe'): 1, ('perturbe', 'raison'): 1, ('raison', 'incident'): 1, ('incident', 'exploitation'): 1})","Counter({('trafic', 'perturbe', 'raison'): 1, ('perturbe', 'raison', 'incident'): 1, ('raison', 'incident', 'exploitation'): 1})",True,2024-08-03 18:47:13,0.1509922346850733,exploitation
Réponse,2024-08-03 19:09:26,"Le trafic est perturbé de Nanterre - Préfecture vers Marne -La -Vallée-Chessy, en raison d'un incident d'exploitation à Poissy #RERA",,2,0,1,6232,2024-08-04 11:30:37.644244,e392794b-bde4-47b6-8c06-b4a44fcecbbe,le trafic est perturbe de nanterre prefecture vers marne la vallee chessy en raison d un incident d exploitation a poissy rera,le trafic est perturbe de  vers  en raison d un incident d exploitation a  rera,"['trafic', 'perturbe', 'raison', 'incident', 'exploitation']",trafic perturbe raison incident exploitation,"Counter({'trafic': 1, 'perturbe': 1, 'raison': 1, 'incident': 1, 'exploitation': 1})","Counter({('trafic', 'perturbe'): 1, ('perturbe', 'raison'): 1, ('raison', 'incident'): 1, ('incident', 'exploitation'): 1})","Counter({('trafic', 'perturbe', 'raison'): 1, ('perturbe', 'raison', 'incident'): 1, ('raison', 'incident', 'exploitation'): 1})",True,2024-08-03 19:09:26,0.0481386392811296,
Réponse,2024-08-03 19:53:27, Le trafic est rétabli de Nanterre–Préfecture vers Marne-la-Vallée–Chessy (incident d'exploitation). #RERA,,1,0,3,4170,2024-08-04 11:30:37.842704,e392794b-bde4-47b6-8c06-b4a44fcecbbe, le trafic est retabli de nanterre prefecture vers marne la vallee chessy incident d exploitation rera, le trafic est retabli de  vers  incident d exploitation rera,"['trafic', 'retabli', 'incident', 'exploitation']",trafic retabli incident exploitation,"Counter({'trafic': 1, 'retabli': 1, 'incident': 1, 'exploitation': 1})","Counter({('trafic', 'retabli'): 1, ('retabli', 'incident'): 1, ('incident', 'exploitation'): 1})","Counter({('trafic', 'retabli', 'incident'): 1, ('retabli', 'incident', 'exploitation'): 1})",True,2024-08-03 19:53:27,0.0959232613908872,
Normal,2024-08-03 14:35:52, Le train stationne à Gare de Lyon en direction de Cergy–Le Haut en raison de l'actionnement d'un signal d'alarme. #RERA,,6,1,6,9031,2024-08-04 11:30:38.271172,76b5ed98-bfa0-4636-a87a-5c4540151eaf, le train stationne a gare de lyon en direction de cergy le haut en raison de l actionnement d un signal d alarme rera, le train stationne a  en direction de  en raison de l actionnement d un signal d alarme rera,"['stationne', 'raison', 'actionnement', 'signal', 'alarme']",stationne raison actionnement signal alarme,"Counter({'stationne': 1, 'raison': 1, 'actionnement': 1, 'signal': 1, 'alarme': 1})","Counter({('stationne', 'raison'): 1, ('raison', 'actionnement'): 1, ('actionnement', 'signal'): 1, ('signal', 'alarme'): 1})","Counter({('stationne', 'raison', 'actionnement'): 1, ('raison', 'actionnement', 'signal'): 1, ('actionnement', 'signal', 'alarme'): 1})",True,2024-08-03 14:35:52,0.1439486214151256,alarme
Réponse,2024-08-03 14:42:08, Le train est reparti de Gare de Lyon en direction de Cergy–Le Haut en répercussion de l'actionnement d'un signal d'alarme. #RERA,,1,0,3,1768,2024-08-04 11:30:49.952408,76b5ed98-bfa0-4636-a87a-5c4540151eaf, le train est reparti de gare de lyon en direction de cergy le haut en repercussion de l actionnement d un signal d alarme rera, le train est reparti de  en direction de  en repercussion de l actionnement d un signal d alarme rera,"['reparti', 'repercussion', 'actionnement', 'signal', 'alarme']",reparti repercussion actionnement signal alarme,"Counter({'reparti': 1, 'repercussion': 1, 'actionnement': 1, 'signal': 1, 'alarme': 1})","Counter({('reparti', 'repercussion'): 1, ('repercussion', 'actionnement'): 1, ('actionnement', 'signal'): 1, ('signal', 'alarme'): 1})","Counter({('reparti', 'repercussion', 'actionnement'): 1, ('repercussion', 'actionnement', 'signal'): 1, ('actionnement', 'signal', 'alarme'): 1})",True,2024-08-03 14:42:08,0.2262443438914027,
Réponse,2024-08-03 14:43:25, Le trafic est perturbé de Vincennes vers Saint-Germain-en-Laye • Cergy–Le Haut en répercussion d'un incident voyageur en Gare de Lyon. #RERA,,1,0,4,2821,2024-08-04 11:30:50.139973,76b5ed98-bfa0-4636-a87a-5c4540151eaf, le trafic est perturbe de vincennes vers saint germain en laye cergy le haut en repercussion d un incident voyageur en gare de lyon rera, le trafic est perturbe de  vers   en repercussion d un incident voyageur en  rera,"['trafic', 'perturbe', 'repercussion', 'incident', 'voyageur']",trafic perturbe repercussion incident voyageur,"Counter({'trafic': 1, 'perturbe': 1, 'repercussion': 1, 'incident': 1, 'voyageur': 1})","Counter({('trafic', 'perturbe'): 1, ('perturbe', 'repercussion'): 1, ('repercussion', 'incident'): 1, ('incident', 'voyageur'): 1})","Counter({('trafic', 'perturbe', 'repercussion'): 1, ('perturbe', 'repercussion', 'incident'): 1, ('repercussion', 'incident', 'voyageur'): 1})",True,2024-08-03 14:43:25,0.1772421127259837,
Réponse,2024-08-03 15:06:21, Le trafic est perturbé de Nanterre-Préfecture vers Cergy-le-Haut en répercussion d'un incident voyageur en Gare de Lyon. #RERA,,1,1,2,3116,2024-08-04 11:30:50.352419,76b5ed98-bfa0-4636-a87a-5c4540151eaf, le trafic est perturbe de nanterre prefecture vers cergy le haut en repercussion d un incident voyageur en gare de lyon rera, le trafic est perturbe de  vers  en repercussion d un incident voyageur en  rera,"['trafic', 'perturbe', 'repercussion', 'incident', 'voyageur']",trafic perturbe repercussion incident voyageur,"Counter({'trafic': 1, 'perturbe': 1, 'repercussion': 1, 'incident': 1, 'voyageur': 1})","Counter({('trafic', 'perturbe'): 1, ('perturbe', 'repercussion'): 1, ('repercussion', 'incident'): 1, ('incident', 'voyageur'): 1})","Counter({('trafic', 'perturbe', 'repercussion'): 1, ('perturbe', 'repercussion', 'incident'): 1, ('repercussion', 'incident', 'voyageur'): 1})",True,2024-08-03 15:06:21,0.128369704749679,
Réponse,2024-08-03 15:29:35, Le trafic est perturbé de Saint-Germain-en-Laye vers Boissy-Saint-Léger en répercussion d'un incident d'exploitation. #RERA,,1,0,3,4783,2024-08-04 11:30:50.527349,76b5ed98-bfa0-4636-a87a-5c4540151eaf, le trafic est perturbe de saint germain en laye vers boissy saint leger en repercussion d un incident d exploitation rera, le trafic est perturbe de  vers  en repercussion d un incident d exploitation rera,"['trafic', 'perturbe', 'repercussion', 'incident', 'exploitation']",trafic perturbe repercussion incident exploitation,"Counter({'trafic': 1, 'perturbe': 1, 'repercussion': 1, 'incident': 1, 'exploitation': 1})","Counter({('trafic', 'perturbe'): 1, ('perturbe', 'repercussion'): 1, ('repercussion', 'incident'): 1, ('incident', 'exploitation'): 1})","Counter({('trafic', 'perturbe', 'repercussion'): 1, ('perturbe', 'repercussion', 'incident'): 1, ('repercussion', 'incident', 'exploitation'): 1})",True,2024-08-03 15:29:35,0.083629521220991,
Réponse,2024-08-03 15:58:31, Le trafic est rétabli de Saint-Germain-en-Laye vers Boissy-Saint-Léger (incident d'exploitation). #RERA,,0,1,3,3325,2024-08-04 11:30:50.715212,76b5ed98-bfa0-4636-a87a-5c4540151eaf, le trafic est retabli de saint germain en laye vers boissy saint leger incident d exploitation rera, le trafic est retabli de  vers  incident d exploitation rera,"['trafic', 'retabli', 'incident', 'exploitation']",trafic retabli incident exploitation,"Counter({'trafic': 1, 'retabli': 1, 'incident': 1, 'exploitation': 1})","Counter({('trafic', 'retabli'): 1, ('retabli', 'incident'): 1, ('incident', 'exploitation'): 1})","Counter({('trafic', 'retabli', 'incident'): 1, ('retabli', 'incident', 'exploitation'): 1})",True,2024-08-03 15:58:31,0.1203007518796992,
Normal,2024-08-03 03:08:16,"Le trafic est perturbé de Boissy-saint-Léger vers la Varennes-Chennevières, en raison d'un incident d'exploitation à Boissy-Saint-Léger. #RERA",,4,2,2,6872,2024-08-04 11:30:51.043863,f8217e67-aa5b-4074-8064-b42c830a18cd,le trafic est perturbe de boissy saint leger vers la varennes chennevieres en raison d un incident d exploitation a boissy saint leger rera,le trafic est perturbe de  vers la varennes chennevieres en raison d un incident d exploitation a  rera,"['trafic', 'perturbe', 'varennes', 'chennevieres', 'raison', 'incident', 'exploitation']",trafic perturbe varennes chennevieres raison incident exploitation,"Counter({'trafic': 1, 'perturbe': 1, 'varennes': 1, 'chennevieres': 1, 'raison': 1, 'incident': 1, 'exploitation': 1})","Counter({('trafic', 'perturbe'): 1, ('perturbe', 'varennes'): 1, ('varennes', 'chennevieres'): 1, ('chennevieres', 'raison'): 1, ('raison', 'incident'): 1, ('incident', 'exploitation'): 1})","Counter({('trafic', 'perturbe', 'varennes'): 1, ('perturbe', 'varennes', 'chennevieres'): 1, ('varennes', 'chennevieres', 'raison'): 1, ('chennevieres', 'raison', 'incident'): 1, ('raison', 'incident', 'exploitation'): 1})",True,2024-08-03 03:08:16,0.1164144353899883,exploitation
